unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62E+12,07/03/2021 19:00,BTC/USDT,50412.31,50580.21,50250,50381.68,1644.627708,82922192.4,56614
1.62E+12,07/03/2021 18:00,BTC/USDT,51075.92,51085.71,50368.2,50412.31,1905.272673,96571297.84,55137
1.62E+12,07/03/2021 17:00,BTC/USDT,51052.89,51201,50757.59,51075.93,2180.45262,111189340,72122
1.62E+12,07/03/2021 16:00,BTC/USDT,50585.23,51352.1,50585.23,51052.9,3580.06799,182478941.7,142491
1.62E+12,07/03/2021 15:00,BTC/USDT,50644.47,50827.93,50375,50585.23,1711.75694,86620570.8,82961
1.62E+12,07/03/2021 14:00,BTC/USDT,50764.44,51250,50130.65,50646.34,3464.338506,175437666.3,132882
1.62E+12,07/03/2021 13:00,BTC/USDT,50746.2,50850,50504.22,50764.44,1476.168709,74825391.39,78201
1.62E+12,07/03/2021 12:00,BTC/USDT,50705.52,50827.68,50391.19,50746.2,1924.672033,97483869.92,98865
1.62E+12,07/03/2021 11:00,BTC/USDT,50612.92,50899.22,50472.81,50705.52,2058.273715,104312732.7,95481
1.62E+12,07/03/2021 10:00,BTC/USDT,50942.82,50985.84,50448.3,50612.92,2825.81054,143295200.5,77271
1.62E+12,07/03/2021 09:00,BTC/USDT,50384.11,51148.22,50384.11,50943.02,4216.983377,214282778.7,92581
1.62E+12,07/03/2021 08:00,BTC/USDT,50041.84,50839.54,50041.84,50383.09,4309.510427,217681721.8,102837
1.62E+12,07/03/2021 07:00,BTC/USDT,49459.61,50179.17,49327.57,50052.68,1987.006737,98810047.42,59667
1.62E+12,07/03/2021 06:00,BTC/USDT,49342,49650,49146.68,49458.56,1487.211773,73428065.59,40988
1.62E+12,07/03/2021 05:00,BTC/USDT,49436.18,49459.25,49111.11,49342,1579.320186,77820439.49,42161
1.62E+12,07/03/2021 04:00,BTC/USDT,49551.43,49687.98,49296.8,49436.18,1523.224739,75402078.27,39760
1.62E+12,07/03/2021 03:00,BTC/USDT,49550.57,49900.99,49433.88,49551.44,1952.161244,96921817.83,45080
1.62E+12,07/03/2021 02:00,BTC/USDT,49121.95,49851,49052.91,49550.58,2579.982018,127803055.4,66389
1.62E+12,07/03/2021 01:00,BTC/USDT,49203.25,49490,48982.17,49121.95,2165.861947,106634203.1,55306
1.62E+12,07/03/2021 00:00,BTC/USDT,48882.2,49312,48882.2,49203.25,2100.259456,103198224.5,50983
1.62E+12,06/03/2021 23:00,BTC/USDT,48920.87,49120.01,48805,48882.2,1438.661551,70431289,54140
1.62E+12,06/03/2021 22:00,BTC/USDT,48577.22,49200,48463.75,48920.88,1991.425981,97393078.61,64007
1.62E+12,06/03/2021 21:00,BTC/USDT,48518.51,48723,48264.63,48578.71,1716.060822,83333485.93,45864
1.62E+12,06/03/2021 20:00,BTC/USDT,48341,48734.84,48223.36,48518.5,2390.266537,115903829.2,64961
1.62E+12,06/03/2021 19:00,BTC/USDT,48473.3,48690.6,48248.27,48341.01,1584.422616,76741497.7,55227
1.62E+12,06/03/2021 18:00,BTC/USDT,48250.7,48623,48109.79,48473.3,2003.054699,96878694.16,60766
1.62E+12,06/03/2021 17:00,BTC/USDT,47755.08,48450,47655.01,48250.69,2674.933637,128615238.6,74126
1.62E+12,06/03/2021 16:00,BTC/USDT,47267.88,47941.03,47104.85,47757.43,2487.134131,118538409.6,67272
1.62E+12,06/03/2021 15:00,BTC/USDT,47562.67,47712.69,47238.32,47267.88,1475.155534,70130991.29,64970
1.62E+12,06/03/2021 14:00,BTC/USDT,47320.3,47725.51,47201.12,47560.96,1820.411482,86454116.6,85390
1.62E+12,06/03/2021 13:00,BTC/USDT,47660.75,47753.39,47070,47320.3,3107.861335,147223560.5,111334
1.62E+12,06/03/2021 12:00,BTC/USDT,48171.02,48212.85,47401.82,47660.74,3296.638061,157314265.4,107114
1.62E+12,06/03/2021 11:00,BTC/USDT,48035.37,48331.91,48000,48171.01,1402.215627,67556132.7,65040
1.62E+12,06/03/2021 10:00,BTC/USDT,48335.22,48499.99,48000,48035.36,2154.956482,103866218,86010
1.62E+12,06/03/2021 09:00,BTC/USDT,48641.65,48785,48270.01,48335.1,1882.877579,91307735.76,48858
1.62E+12,06/03/2021 08:00,BTC/USDT,48820.13,49100,48600,48641.64,2233.922587,109189858.4,94092
1.62E+12,06/03/2021 07:00,BTC/USDT,48922,49117.32,48772.24,48820.12,1647.181142,80636495.64,44370
1.62E+12,06/03/2021 06:00,BTC/USDT,48496.27,48971.29,48482.17,48922,1754.071955,85589315.54,45201
1.62E+12,06/03/2021 05:00,BTC/USDT,48450.12,48895.32,48193,48496.28,1653.759434,80307401.57,60397
1.62E+12,06/03/2021 04:00,BTC/USDT,48657.72,48687.49,48115.83,48451.16,1726.74406,83446085.4,65417
1.62E+12,06/03/2021 03:00,BTC/USDT,48647.37,48801.81,48350,48657.72,818.440673,39764114.17,24356
1.61E+12,06/03/2021 01:00,BTC/USDT,48807.83,48901.65,48520,48647.38,1293.844925,62960628.37,36753
1.61E+12,06/03/2021 00:00,BTC/USDT,48746.81,49156,48675.67,48808.05,1845.193392,90328263.11,50809
1.61E+12,05/03/2021 23:00,BTC/USDT,49061.77,49160.29,48579.59,48751.71,2021.885755,98728783.94,56088
1.61E+12,05/03/2021 22:00,BTC/USDT,49035.2,49389.99,48673.71,49061.76,1773.898853,87064645.45,68027
1.61E+12,05/03/2021 21:00,BTC/USDT,49173.85,49398,48890.97,49035.21,2046.17724,100533176.7,49623
1.61E+12,05/03/2021 20:00,BTC/USDT,49285.76,49448.93,48832.17,49173.85,2917.735053,143449027.2,98086
1.61E+12,05/03/2021 19:00,BTC/USDT,48478.12,49400,48310.4,49295.47,3687.784444,180194817.8,81593
